商品属性,评价内容
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,运行速度：：买来没多久，所以很流畅，屏幕效果：特别清晰，不是吹的，外形外观：银灰色，不太耐脏，轻薄程度：还算轻薄了，15.6寸相比14寸还是会重一点的，散热性能：目前散热没大问题，偶尔会有一点声音，其他特色：还是很喜欢Office，必须赞一个！开机之前记得联系客服，自己操作有些福利会错过，吸取教训
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,送货快，价格便宜，外观简单大气上档次，最新11代处理器，16G大内存 ，512纯固态硬盘，搭配450高性能显卡，玩游戏办公都可以，高色域屏幕，视觉效果很好，大牌子值得购买
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,运行速度：快速，屏幕效果：正常，散热性能：一般，外形外观：中规中矩
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,给表弟买的，到货速度很快，先让他用用看
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,一直用的都 联想的本子    这个外观好看  也很轻薄  速度快
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,外观漂亮，性能也不错，再有有线网络接口，U口再多2个就更好了
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,非常好，相信京东品质，一直用
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,用了一天，目前没啥问题
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,不错 不错 性价比超高
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,用过一段时间了，各方面都挺好的，**游戏基本通吃。
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,内置再好都敌不过这个小键盘，小键盘真的太实用了，键盘触感很好，物流速度超快，早上下单，下午收到，除了15.6寸大点都挺好的
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,不错的一次购物体验
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,运行速度快，外观简洁轻薄。看视屏看网课都都不错。屏幕也大。最近天气凉，用的过程中几乎没有发热现象，就是浏览网页时候总感觉屏幕不是很高清，why？
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,昨晚装了软件cdr  AI  PS，运行还可以，速度挺流畅！期待一直延续，今天试试续航能力。
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,轻薄设计，携带方便，独立显卡，性能很好
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,物流很快，用来还可以，性价比高。
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,目前看起来还不错 ?
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,货品收到，包装完好无损，快递服务好，货品质量待使用一段时间后评价
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,没用两次就蓝屏了，客服给直接换了一台新的！
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,笔记本电脑运行很快，外观也很好看，我儿子很满意。
