"型号","评论内容"
"2021新Air","外形外观：很精致日常上网课很方便   偶尔打打阴阳师  原神没问题  ????   付完尾款第二天就到货了"
"2021新Air","看了很久，选了小新，是正品很好用，价格便宜了很多，性价比超高，真的特别划算，包装也很高端大气上档次，值得购买"
"2021新Air","买了，外观什么的都特别好，但是我还是退掉了因为底部按键有声音，我自己的强迫症有点接受不了，但是这个电脑很好用哈哈哈哈哈哈，真香。"
"2021新Air","特别好，回家以后认真检查了配置，卖家没有发错，是新机，用的也很流畅，值得信赖，用了半天总结出来很好用很好用喜欢的可以下手了！！！！！！！"
"2021新Air","一直比较信任联想电脑，性价比很高，配置主流，独立显卡够用，可以流畅运行网络游戏，给弟弟上学买来用的，轻便小巧，方便携带。"
"2021新Air","运行速度：飞快！散热性能：良好！，外形外观：美丽！，轻薄程度：适中！，其他特色：不知！"
"2021新Air","京东就是京东，发货物流贼快，21号付尾款，21中午就到了！还有在京东自营店买的很放心不用担心是二手机！这款电脑整体素质还是很不错的！"
"2021新Air","暂时用着还不错，充电速度很快，新手提续航时间还行差不多用有5-6个小时吧没认真去算时间，不知道用一段时间电池会不会不耐用了"
"2021新Air","早上下单，下收到，这款配置棒棒哒，有种佩服科技的感觉，什么都自带，速度快，激活还有智能语音提示，很满意"
"2021新Air","运行速度：快，，屏幕效果：好，，散热性能：强，，外形外观：亮，，轻薄程度：薄，，其他特色：强！"
"2021新Air","运行速度：很快，屏幕效果：很高清，散热性能：很好，外形外观：很好看，轻薄程度：很轻薄"
"2021新Air","送货快，价格便宜，全新11代处理器，16G大内存，450显卡，玩游戏非常卡，性能强悍，外观好看。"
"2021新Air","物超所值，商品设计完美，外观也很高大上，让人爱不释手。客服更是热情的没话说，这次购物很满意手感好，"
"2021新Air","运行速度：比想中的完美，屏幕效果：还好，看看动画片完美～，散热性能：还好，外形外观：挺喜欢的，其他特色：有质感，服务态度很好，轻薄程度：有点重"
"2021新Air","对比多个选择的这个，给老公来办公用的，说是还行，要是再送个鼠标和电脑包就更好了"
"2021新Air","外观漂亮不错 体验良好"
"2021新Air","电脑看起来还可以，包装也挺好的。具体用起来怎么样就看最后的使用了！"
"2021新Air","电脑出现了点点小问题，就换货了，服务态度很好，处理问题也很到位，希望不要在向第一次那样了"
"2021新Air","第一次买电脑，服务挺好的，先用着，好了再来评价"
"2021新Air","屏幕效果：可以，散热性能：大一点的游戏有点响，但问题不大，外形外观：好，轻薄程度：好，其他特色：nb，运行速度：还行，跟网络信号有关"
"2021新Air","电脑还可以，但是！！为什么耳机插上没声音啊！！！搞了好久了！！！有没有大佬来解答一下，要枯了"
"2021新Air","新电脑感觉太棒了！一直想入手联想的，看了很久选了这款，非常棒！"
"2022时尚","感觉还不错，就是还不是很习惯用，在慢慢摸索，平时也只是看看电视什么的，完全满足我的需求"
"2022时尚","内存比较大，运行起来声音较小，静音效果比较好，用于实验室的控制系统软件控制，安装正版系统，应该能够用好长时间，屏幕足够大画面清晰。"
"2022时尚","很好用什么都好等非常可以"
"2022时尚","颜色不是灰色，是银色的"
"2022时尚","很好用，外观造型手感都很好，运行速度快，长时间办公大屏幕不累，非常值得购买"
"2022时尚","买了一个星期了，用了一周最大的感受就是风扇，一开机还没干啥风扇就开始响，就是看视频风扇也一个劲的响，我也不懂这玩意儿，不知道是不是哪里没设置好，总之其他都还好，就风扇有点影响体验"
"2022时尚","运行速度：速度很快，屏幕效果：很好，清晰，散热性能：很好，声音很小，外形外观：好看，孩子喜欢，轻薄程度：合适，其他特色：超喜欢"
"2022时尚","感觉京东买东西也是水深，闪屏，鼠标也在闪。想要退换货还要满足条件，检查还要去当地的维修站，不能寄回去检查。麻烦得一批……"
"2022时尚","包装很好，快递很给力。开机神速，运行速度很快，性价比很高！"
"2022时尚","用了很久才能才来评价的，颜色很好，大气美观，键盘手感很好还带数字键盘，爱了爱了"
"2022时尚","我看了很多台电脑最终选择了这款果然没让我失望 外观很漂亮 简洁大方 看着很有质感。而且运行速度也很快 画面也超级清晰!!!还能够语音识别 超级方便!电脑整体来说也比较轻薄 方便携带!屏占比简直不要太优秀!客服态度也很好 是一次非常棒非常满意的购物!爱了爱了这电脑"
"2022时尚","电脑还可以，就是这鼠标太恶心人，早知道就自己买一个，浪费等了2天就等了个这种鼠标？你还不如配送？送个儿童鼠标恶心人。"
"2022时尚","电脑挺好运行挺快，第一次用比较不错"
"2022时尚","电脑使用流畅，非常轻便，屏幕清晰，速度快，不卡壳，物流也非常快，性价比高。"
"2022时尚","运行速度：画三维家还是很溜，屏幕效果：画质不错，散热性能：也不算很吵"
"2022时尚","联想电脑笔记本第五台了，一直买这个品牌，也行可能是用习惯了吧，后来买了一台华硕用了两年多就坏了，现在又买回联想这个品牌了！"
"2022时尚","被逼无奈，不给发兜！！！！"
"2022时尚","等你各方面都不错，颜色好看"
"2022时尚","大屏幕 超轻 好评?"
"2022时尚","电脑发货速度很快，也有数字小键盘，可是说是对财务人员很友好了！电脑的质感也特别棒！?"
"2022时尚","开机很快 画质清晰 我挺喜欢"
"2022时尚","运行速度：很快，两秒开机，屏幕效果：屏幕稍差，这是唯一的缺点吧，就性价比来讲还是这款电脑合适"
"2022时尚","电脑不错，值得购买，性价比很高，很喜欢，随身携带，真的很方便"
"2022时尚","非常好用，也很流畅，一点也不卡顿，很适合学生党"
"2022时尚","外观简单大方，运行速度很快，买来在公司用，主要用来画CAD。非常不错。"
"2022时尚","电脑收到了，用了十几天，感觉不错，给个好评，速度挺快的，不会卡，质感也不错，总体来说，很不错哦！"
"2022时尚","很快 外观大气漂亮"
"2022时尚","发货很快，两天就到了，这个颜色还可以，我还挺喜欢的，性价比算高吧。包装仔细，指纹解锁，对于没脑子记密码的人来说简直太棒了！收到货后试用一段时间了，很不错，质量很好，值得拥有！好评！"
"2022时尚","京东快递真的很给力，隔日到，本本收到后，迫不及待的打开，真的很满意，款式很新颖，用后性能很优越，值得推荐购买，性价比超高。"
"2022时尚","用了两周了，整体感觉不错"
"2022时尚","新电脑收到了，非常喜欢，简约大方携带方便，五星好评"
"2022时尚","挺好的，人生中第一台笔记本，客服也超级有耐心！很实用"
"2022时尚","朋友推荐买的第一款联想笔记本电脑，外观挺好看的，运行速度快，玩游戏一点也不卡"
"2023豪华","物流快 买的第三天就到了。电脑开箱手感也非常好 款式非常喜欢 特别轻便。像我们这种学生拿着正好"
"2023豪华","这款是朋友推荐买的。外观看起来很大气，手感也挺好的，是薄款产品质量蛮好的，学生党够用了。"
"2023豪华","物流很快，电脑也很好，联想的电脑性价比一直都很高。散热也很很好，噪音我没有听到过。很不错"
"2023豪华","电脑很好用，非常快，下载的内存也很大，各个方面也都很好，内存基本够用，上网课时很好用。"
"2023豪华","电脑很漂亮，很轻巧，是我想要的，值得入手。运行开启也非常迅速，和卖家描述的一样。"
"2023豪华","宝贝收到了，很满意，外观很漂亮，运行很流畅，屏幕效果也很好，很满意的一次购物。"
